id,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,class
20,24.349707,-11.066708,-4.359990,17.028602,-8.288880,18.605768,-18.177469,1.781587,-9.125210,-4.011679,0.847141,-14.497872,18.090790,-9.991468,6.607033,9.813792,-9.297607,15.079987,-7.634507,-8.351373,A,D,B,C,B,E,A,F
22,15.290025,-11.885027,-6.225189,17.515022,-7.434146,18.614849,-18.460072,4.659518,-1.114629,-4.203619,-0.019774,-18.745466,13.387100,-21.751580,16.914991,9.731968,-9.290692,15.047451,7.756595,-5.339180,A,F,B,B,C,D,D,F
24,14.815458,-9.143287,-5.430677,17.054581,-8.014490,18.562657,-19.562759,3.222234,-2.479844,-4.632369,0.186169,-16.406068,12.928164,-19.286915,15.541549,9.809421,-9.330436,14.974778,-6.462892,-10.419030,A,G,C,B,A,D,A,G
26,21.373402,-11.540073,-4.330094,17.490608,-7.708043,18.713413,-18.318939,1.651461,-8.727567,-2.942356,0.216478,-12.512393,16.896661,-10.672921,7.162571,9.736075,-9.215650,15.261276,45.360482,-11.822499,B,B,B,B,C,D,A,G
28,22.294138,-9.293933,-5.366122,17.279110,-8.210268,18.565917,-19.911588,3.059661,-9.539157,-4.547712,0.471015,-12.458404,16.868653,-8.937072,7.199643,9.771650,-9.327953,14.989126,6.644697,-7.309928,C,F,A,A,C,E,D,G
30,15.664128,-8.938624,-3.998667,17.057350,-8.211594,18.622229,-19.905631,1.091332,-2.246969,-3.970458,0.422274,-17.192988,13.607648,-19.609216,15.978398,9.808955,-9.285072,15.086975,-26.364146,-11.624172,C,E,B,A,B,E,G,G
32,12.852872,-8.644722,-1.938896,17.377276,-7.742755,18.761964,-20.056101,-2.104888,-1.696964,-2.564965,-0.249418,-16.695094,12.940515,-20.400691,16.740399,9.755137,-9.178692,15.325263,-12.066765,-11.029980,B,C,A,B,A,A,B,G
34,16.849721,-8.973636,-4.023187,17.130161,-8.016152,18.646501,-18.251421,1.295773,-1.561844,-3.781635,0.162996,-18.842308,14.310819,-20.646761,16.263038,9.796707,-9.266592,15.118985,11.020220,-12.227838,C,D,C,A,E,E,C,F
36,24.218341,-10.869577,-1.200630,17.203877,-8.313136,18.736355,-18.326352,-3.115426,-9.159795,-2.613703,0.846952,-14.360105,18.459461,-9.888142,6.646954,9.784306,-9.198186,15.316999,-5.613319,-8.250297,B,A,C,C,A,D,G,G
38,22.304700,-9.056985,-1.674078,17.369795,-8.232848,18.646158,-19.855348,-2.602219,-9.630691,-3.733194,0.467879,-12.383288,17.134959,-8.748014,7.060935,9.756396,-9.266852,15.127197,-12.654695,-5.268263,B,D,C,B,B,D,A,F
40,15.719984,-11.760523,-4.704214,17.520921,-7.552131,18.723414,-18.852512,2.348144,-0.527625,-2.995522,0.083105,-19.866265,14.096178,-22.604657,17.809170,9.730976,-9.208036,15.252261,34.830233,-10.357581,B,C,C,B,C,B,E,F
42,15.861540,-11.417549,-4.886123,17.393956,-7.814101,18.650406,-18.321615,2.626990,-1.329285,-3.707207,0.317859,-18.693537,13.829160,-21.354665,16.590070,9.752332,-9.263618,15.131603,-72.131975,-5.950015,A,D,C,A,A,D,E,G
44,24.624138,-10.527982,-1.185985,17.178566,-8.693049,18.699905,-18.055009,-3.112238,-9.312828,-2.918462,1.302258,-14.554438,18.542387,-9.581372,6.315054,9.788563,-9.225933,15.265327,28.109094,-9.273202,A,E,B,A,C,A,A,G
46,23.078949,-8.911957,-5.494031,17.023901,-8.170767,18.651114,-18.210578,3.502777,-8.965742,-3.544939,0.362849,-13.622431,17.560328,-9.660801,6.817064,9.814582,-9.263079,15.159112,10.742366,-9.395457,C,E,C,A,C,E,E,F
48,15.529200,-8.659058,-4.362588,17.127971,-7.985362,18.710268,-18.253639,1.774197,-1.260399,-3.025465,0.075370,-18.635672,13.939808,-21.062437,16.659516,9.797075,-9.218044,15.247185,22.876353,-13.049695,A,A,B,B,D,C,G,G
50,20.930847,-11.482998,-3.346183,17.486057,-7.839302,18.696832,-20.276347,-0.106249,-9.402400,-3.131874,0.360053,-11.498014,16.603801,-9.734986,7.601861,9.736840,-9.228272,15.229143,42.911558,-12.019062,A,E,C,B,A,E,A,G
52,23.029825,-9.335844,-6.310590,17.355210,-7.933021,18.596651,-18.310211,4.744144,-8.855899,-4.275073,0.108232,-13.687776,17.356809,-9.917168,7.002962,9.758849,-9.304549,15.035338,3.697386,-6.682013,B,G,C,B,A,A,A,G
54,22.681084,-8.690680,-2.452610,17.161424,-8.683068,18.662412,-19.761869,-1.376026,-9.772998,-3.357307,1.047781,-12.561130,17.389501,-8.455582,6.841188,9.791447,-9.254477,15.190923,49.611820,-6.873272,A,A,A,B,C,D,B,G
56,15.241177,-11.394634,-3.058262,17.458894,-7.816995,18.611353,-19.993734,-0.455545,-2.167362,-4.214257,0.317038,-17.098403,13.347457,-20.105257,16.116234,9.741409,-9.293353,15.045647,16.496914,-6.718629,A,E,B,A,B,E,E,F
58,13.585212,-11.450155,-4.668416,17.439743,-7.739745,18.657723,-20.078052,2.021104,-1.789210,-3.616515,0.236211,-16.882549,12.738524,-20.676074,16.631993,9.744630,-9.258047,15.146978,-8.395757,-12.885266,A,F,C,A,C,D,D,F
60,22.006043,-8.859490,-5.424269,16.925536,-8.430644,18.622416,-19.869710,3.230284,-9.610110,-3.764017,0.713759,-12.160943,16.896372,-8.728260,7.093303,9.831131,-9.284930,15.121972,8.555279,-8.937961,B,G,A,A,E,B,A,G
62,14.280031,-11.333288,-3.558133,17.411821,-7.910479,18.725105,-20.497793,0.441359,-1.448359,-2.856694,0.418218,-17.743107,13.409894,-21.163577,17.240734,9.749327,-9.206749,15.275800,-11.125570,-6.543241,A,B,A,B,C,D,A,G
64,15.278940,-11.272724,-6.386238,17.002590,-8.015995,18.572899,-19.988755,4.729969,-2.105202,-4.434352,0.536733,-17.212442,13.206828,-20.176726,16.193144,9.818168,-9.322636,15.008340,-55.078901,-7.343499,D,A,A,A,C,A,A,G
66,20.478302,-9.316892,-6.059437,17.628344,-7.271747,18.679153,-18.450614,4.276491,-8.488370,-3.526328,-0.717795,-12.071417,16.301672,-10.439069,7.521774,9.712908,-9.241732,15.162267,9.273058,-8.483545,D,F,C,A,A,A,D,A
68,21.073881,-11.406048,-4.657522,17.195348,-7.892483,18.639274,-20.062190,1.942517,-9.414518,-3.697747,0.409667,-11.599611,16.464015,-9.695456,7.439511,9.785741,-9.272094,15.133206,-36.420683,-5.594592,A,F,A,C,D,D,D,G
70,21.308314,-9.047578,-4.407195,17.178149,-7.979398,18.646446,-20.061961,1.542330,-9.451364,-3.688196,0.125037,-11.750577,16.612473,-8.999783,7.399199,9.788634,-9.266633,15.134825,25.111671,-7.262163,B,G,A,A,A,A,A,G
72,22.212554,-11.118805,-6.445126,17.146984,-8.449217,18.598265,-19.996398,4.833352,-9.592077,-3.968857,1.064113,-12.344066,16.926364,-9.368728,7.200694,9.793876,-9.303319,15.087246,17.844629,-6.562865,C,D,C,C,D,E,A,G
74,17.224855,-10.966383,-2.672504,17.161832,-8.110045,18.663113,-18.213367,-0.842296,-1.694924,-3.528925,0.601795,-18.839378,14.571088,-20.736694,16.076556,9.791379,-9.253943,15.161827,65.993728,-11.356320,A,A,C,B,C,C,C,G
76,20.055239,-11.491900,-3.776574,17.485051,-7.786390,18.684772,-20.047774,0.677427,-9.323667,-3.245373,0.298959,-10.887188,16.105222,-9.844341,7.528929,9.737009,-9.237453,15.209900,1.600867,-5.878556,B,A,A,B,A,D,G,G
78,13.310618,-11.843106,-5.623373,17.323690,-7.388057,18.686611,-20.659260,3.479809,-1.156592,-3.365525,-0.077610,-17.761356,12.750448,-21.682173,17.678996,9.764151,-9.236054,15.189530,-16.123346,-6.114214,D,G,A,B,A,B,A,A
80,24.267935,-9.043184,-5.465725,17.156774,-8.472253,18.600284,-18.153043,3.488826,-9.120517,-4.080591,0.795735,-14.435779,18.030373,-9.469851,6.599524,9.792229,-9.301782,15.068305,-30.014720,-6.959808,D,E,C,A,B,B,D,G
82,17.310875,-11.172762,-6.113952,16.961921,-8.142457,18.655468,-18.561296,4.524520,-1.108378,-3.502753,0.677639,-19.766283,14.582511,-21.644556,16.955333,9.825010,-9.259764,15.166264,3.069833,-7.453585,A,B,B,B,B,B,A,G
84,17.274526,-10.923538,-2.747387,17.277286,-8.266538,18.723929,-18.461319,-0.698266,-1.254811,-2.814027,0.795114,-19.526386,14.863619,-21.386742,16.731662,9.771957,-9.207644,15.283034,-2.377908,-10.051925,A,E,B,C,D,D,A,G
86,12.119183,-11.599641,-3.210209,17.472294,-7.342074,18.730842,-20.177115,-0.283124,-1.500220,-2.907632,-0.177743,-16.689951,12.430422,-21.130621,17.040622,9.739155,-9.202382,15.267163,-9.239660,-10.014326,D,D,A,B,C,A,A,F
88,16.227766,-10.713447,-6.470146,16.995806,-8.712103,18.591624,-19.876120,4.918655,-2.293882,-4.022978,1.354495,-17.415664,13.768459,-19.803203,15.906508,9.819309,-9.308377,15.078072,18.263176,-7.468530,B,E,B,A,A,D,A,G
90,14.703409,-8.864494,-3.042410,17.208768,-7.988149,18.668194,-19.966366,-0.487670,-2.060323,-3.543652,0.109306,-16.994543,13.335105,-19.880595,16.240927,9.783483,-9.250075,15.159330,12.916432,-9.853882,A,F,C,C,E,B,D,G
92,23.523521,-9.071849,-4.773129,17.290222,-7.677611,18.719822,-18.842826,2.329404,-8.799088,-3.002274,-0.264793,-14.134805,18.036352,-9.936748,7.366952,9.769781,-9.210771,15.251117,-15.289223,-8.100614,A,F,C,A,C,D,D,G
94,14.054654,-8.879788,-4.138221,17.370692,-7.955966,18.668232,-20.011631,1.198987,-1.900923,-3.534953,0.068574,-16.927930,13.017923,-20.122982,16.462432,9.756245,-9.250046,15.160805,42.912253,-7.910955,B,A,C,A,E,D,G,G
96,16.657533,-11.060998,-3.608470,17.305151,-8.117723,18.667781,-18.229148,0.674578,-1.550295,-3.453744,0.627475,-18.760116,14.304931,-20.967528,16.271264,9.767270,-9.250389,15.174573,-9.193602,-8.293835,A,E,B,B,D,D,A,G
98,14.521414,-11.162948,-4.190877,17.159913,-7.920968,18.600599,-19.640560,1.390814,-2.386084,-4.193814,0.400350,-16.402682,12.938211,-19.741042,15.692626,9.791701,-9.301543,15.049113,-55.566359,-8.676766,D,D,C,A,C,C,A,G
100,20.740918,-11.410159,-5.326268,17.158147,-7.890253,18.634729,-20.019000,2.977219,-9.380255,-3.715465,0.407728,-11.369460,16.273316,-9.743147,7.447231,9.791998,-9.275555,15.130203,-33.694567,-9.741953,A,C,A,B,D,D,B,G
102,22.698243,-8.938981,-2.880743,17.227283,-8.498241,18.629364,-19.805347,-0.720253,-9.707690,-3.796994,0.818354,-12.633239,17.285929,-8.609569,6.942426,9.780368,-9.279640,15.116381,13.751986,-11.715522,C,F,C,B,E,E,D,F
104,22.161552,-10.695688,-2.478346,17.198569,-8.577105,18.680365,-19.800621,-1.319305,-9.717360,-3.098864,1.169660,-12.188731,17.181198,-9.073144,6.928617,9.785199,-9.240809,15.234740,-14.005613,-6.134346,A,E,B,A,A,D,A,G
106,20.921086,-9.322228,-6.279421,17.122886,-7.848313,18.584322,-19.949933,4.536116,-9.349598,-4.369163,-0.004296,-11.541477,16.194985,-9.212027,7.433715,9.797930,-9.313937,15.019390,-40.170338,-12.847171,B,F,A,C,A,D,D,G
108,22.667044,-11.216988,-3.433778,17.218061,-7.975073,18.692196,-18.236604,0.305622,-8.932042,-3.120401,0.476391,-13.326763,17.488312,-10.299950,6.871659,9.781920,-9.231802,15.231089,29.414265,-11.143992,B,A,C,B,D,D,G,G
110,15.558512,-8.705946,-3.703503,17.012744,-8.360359,18.652002,-19.884336,0.577513,-2.231882,-3.580711,0.595829,-17.161615,13.684553,-19.601019,15.988767,9.816459,-9.262403,15.153048,-12.399423,-6.455853,D,B,A,B,E,A,A,G
112,17.247674,-10.951647,-4.672207,17.003032,-8.219991,18.634498,-18.207802,2.266682,-1.653275,-3.743792,0.739665,-18.913770,14.463719,-20.796433,16.129474,9.818093,-9.275730,15.125400,-5.167078,-12.880236,C,A,A,B,C,E,G,G
114,16.444023,-8.937093,-3.957748,17.395760,-7.903931,18.690248,-18.500815,1.144958,-1.121885,-3.366525,0.008122,-19.303019,14.297874,-21.306404,16.918363,9.752028,-9.233285,15.189360,-15.968314,-7.104814,A,E,C,A,E,D,A,F
116,15.935692,-9.043565,-5.427742,17.481257,-7.619674,18.715251,-18.898696,3.456565,-0.455930,-3.162131,-0.343193,-20.081326,14.162560,-22.326387,17.917940,9.737647,-9.214250,15.224013,6.029380,-11.011371,B,E,C,B,C,C,C,F
118,24.581127,-10.747134,-3.031427,17.011528,-8.517766,18.675219,-18.198309,-0.351832,-9.220025,-3.180143,1.097877,-14.601304,18.435724,-9.770694,6.504405,9.816664,-9.244726,15.220960,-0.671820,-10.344650,D,E,A,A,A,A,G,G
120,22.198420,-11.199085,-3.375056,17.336781,-8.189445,18.610931,-19.891756,0.053877,-9.580383,-4.021802,0.741600,-12.343373,16.960053,-9.408614,7.140952,9.761949,-9.293675,15.078271,13.082723,-8.208667,B,B,A,A,B,D,A,G
122,14.550304,-9.251130,-4.952868,17.403364,-7.257746,18.669313,-18.448962,2.658394,-0.996159,-3.732701,-0.746703,-18.580197,13.265265,-21.536364,17.066878,9.750749,-9.249223,15.127281,-31.718884,-7.845498,B,C,A,C,D,E,B,G
124,13.641659,-11.253694,-4.965537,17.148963,-7.863355,18.671775,-20.048665,2.612333,-1.801234,-3.364194,0.346691,-16.889848,12.834916,-20.625317,16.604573,9.793544,-9.247349,15.189755,-36.170190,-9.601909,A,F,B,B,A,D,D,F
126,15.689014,-9.008817,-5.363232,17.162540,-7.767524,18.656090,-18.325495,3.347035,-1.259914,-3.697015,-0.159369,-18.714937,13.767985,-21.107030,16.682319,9.791260,-9.259291,15.133330,18.642732,-8.794602,B,F,A,C,A,D,D,F
128,15.527908,-11.417631,-1.948229,17.561092,-7.594869,18.680924,-18.209036,-1.959649,-1.533152,-3.514922,0.062609,-18.214308,13.800867,-21.051279,16.287541,9.724219,-9.240383,15.164201,8.612470,-8.154596,A,E,C,B,E,D,A,F
130,15.930779,-11.613016,-5.247610,17.239896,-7.595247,18.658790,-18.547307,3.184918,-1.034684,-3.657283,0.101724,-19.181523,13.900874,-21.825306,17.047378,9.778247,-9.257235,15.140066,39.074415,-13.015904,B,G,C,B,A,A,A,G
132,17.275056,-8.694526,-3.243876,17.269293,-8.262281,18.704802,-18.424914,0.048741,-1.300809,-3.106243,0.458365,-19.457346,14.777659,-21.005697,16.659847,9.773301,-9.222205,15.233489,7.221472,-10.765012,A,A,C,B,A,D,G,G
134,17.708703,-10.943409,-4.902819,17.170488,-8.368221,18.610144,-18.186672,2.624186,-1.759761,-4.007777,0.930516,-19.001507,14.603949,-20.636341,15.983159,9.789922,-9.294274,15.080649,-23.458982,-7.340788,D,F,C,B,C,A,D,G
136,16.255065,-10.573149,-4.763102,16.828007,-8.640712,18.622683,-19.808897,2.310127,-2.389244,-3.708626,1.237625,-17.287166,13.909108,-19.638362,15.757395,9.847539,-9.284727,15.131362,5.574546,-11.173267,A,B,C,B,C,D,A,G
138,20.945078,-11.937855,-6.551802,17.244624,-7.514169,18.550996,-20.106972,4.965466,-9.252429,-4.788048,0.077588,-11.655179,16.101122,-10.075605,7.647518,9.777451,-9.339316,14.948392,-51.644247,-9.526152,B,A,B,C,C,D,D,F
140,23.755344,-9.315086,-8.421850,17.102928,-8.391687,18.510399,-18.036111,7.976436,-9.017739,-5.032784,0.721075,-14.115729,17.500577,-9.681434,6.661851,9.801288,-9.370234,14.906916,32.769725,-12.884674,C,F,B,C,A,E,D,E
142,17.398633,-8.992564,-4.837473,16.959778,-8.294131,18.585311,-17.956324,2.575436,-2.060919,-4.339770,0.542784,-18.387849,14.348590,-19.896748,15.516645,9.825370,-9.313184,15.024372,-40.457726,-11.771620,A,F,A,C,E,C,D,C
144,14.105859,-8.992808,-2.349108,17.465353,-7.834431,18.661748,-19.787629,-1.585948,-2.185079,-3.699489,-0.074724,-16.509787,13.011649,-19.709749,16.008695,9.740322,-9.254983,15.132911,-0.063218,-7.796545,B,B,C,B,B,D,A,G
146,23.009414,-9.100952,-2.701472,17.319181,-8.226874,18.612550,-17.841911,-0.838409,-9.070975,-4.075500,0.465941,-13.467696,17.396245,-9.554303,6.496733,9.764910,-9.292442,15.069168,-9.639885,-6.455698,B,D,A,B,E,D,A,F
148,22.269413,-9.111793,-3.105024,17.160151,-8.179188,18.620950,-19.882339,-0.382327,-9.595812,-3.970202,0.402733,-12.386563,17.030826,-8.811078,7.117617,9.791661,-9.286046,15.087018,1.932343,-12.842692,D,E,A,B,A,A,A,G
150,13.723843,-10.724337,-0.795695,17.365701,-8.169206,18.780818,-19.929268,-3.951987,-1.946656,-2.166795,0.637211,-16.699784,13.445348,-20.322532,16.370379,9.757084,-9.164342,15.392775,-24.974283,-7.374988,A,E,C,A,E,D,A,G
152,14.633089,-11.529419,-7.995483,17.247565,-8.028422,18.645019,-20.684311,7.218930,-1.246493,-3.605015,0.597423,-18.225996,13.192541,-21.496279,17.576012,9.776957,-9.267720,15.148927,4.466685,-12.600425,D,F,B,C,E,A,G,F
154,23.298210,-11.193326,-3.930652,17.326749,-8.142469,18.633669,-18.147783,1.025219,-9.009257,-3.764152,0.681135,-13.756723,17.618219,-10.186938,6.731017,9.763637,-9.276362,15.121949,-26.995730,-12.021694,B,E,C,B,C,D,E,G
156,19.762142,-9.426558,-3.555046,17.393781,-7.551500,18.603203,-19.631736,0.292566,-9.243144,-4.324854,-0.362150,-10.740218,15.647918,-9.388730,7.339898,9.752361,-9.299560,15.026900,32.714200,-12.909383,B,B,B,B,D,D,A,F
158,22.331725,-10.952907,-3.122059,17.092790,-8.349255,18.702407,-20.203032,-0.319541,-9.661861,-2.889845,0.907252,-12.376863,17.351106,-9.224564,7.271078,9.802993,-9.224028,15.270179,-24.275822,-7.194068,C,C,A,A,C,E,B,G
160,22.308026,-9.438296,-5.423630,17.141926,-7.867049,18.540677,-17.865168,3.297568,-8.887029,-4.899689,0.038655,-13.086085,16.801062,-9.897289,6.733711,9.794727,-9.347174,14.929472,-29.641027,-10.796626,B,B,C,B,E,D,G,D
162,11.815134,-11.288421,-2.769398,17.525630,-7.638987,18.782636,-20.121453,-0.949629,-1.474093,-2.234983,0.087949,-16.603349,12.593471,-21.117921,17.051101,9.730184,-9.162958,15.381213,-3.963357,-7.100089,A,D,C,B,D,D,D,G
164,16.595059,-9.057461,-4.004822,17.332543,-8.028962,18.628456,-18.131702,1.255347,-1.716762,-4.001170,0.192602,-18.476197,14.106049,-20.424086,16.022564,9.762662,-9.280331,15.081769,6.211605,-10.407797,D,C,C,C,D,B,C,G
166,22.159372,-8.911102,-6.504952,16.855339,-8.453885,18.594653,-19.873894,4.847908,-9.604209,-4.039221,0.752869,-12.290031,16.886463,-8.749307,7.102629,9.842941,-9.306070,15.075318,-4.372096,-11.802344,B,C,A,B,B,D,B,G
168,14.679855,-9.056899,-3.492196,17.332821,-8.068746,18.606769,-19.540417,0.290604,-2.502130,-4.200932,0.245810,-16.303722,13.044746,-19.241350,15.504104,9.762615,-9.296844,15.047906,27.275959,-7.562678,A,G,C,C,D,D,A,G
170,21.928385,-8.989926,-2.534584,17.340203,-8.243795,18.652634,-19.877030,-1.263657,-9.592430,-3.618781,0.473441,-12.114677,16.959670,-8.785475,7.117652,9.761373,-9.261922,15.146594,-18.895148,-6.322577,A,D,B,A,C,D,A,F
172,22.345872,-9.282637,-7.150906,17.179649,-8.331909,18.540136,-19.910053,5.838440,-9.538956,-4.743783,0.634722,-12.500321,16.819864,-8.934489,7.198807,9.788381,-9.347586,14.955895,32.301217,-12.377360,C,D,A,C,B,A,A,F
174,16.388302,-9.136854,-4.270098,17.353796,-7.953968,18.608657,-18.065452,1.602310,-1.805813,-4.237643,0.104913,-18.234485,13.919293,-20.300459,15.885237,9.759087,-9.295406,15.041683,-1.969821,-10.859959,D,F,A,B,D,C,D,F
176,11.642091,-8.606771,-2.196824,17.574791,-7.568238,18.796316,-20.134147,-1.704185,-1.434208,-2.226160,-0.481550,-16.595771,12.599659,-20.793145,17.107118,9.721915,-9.152546,15.382709,-32.911820,-12.055762,A,F,C,B,B,D,D,F
178,21.433270,-11.599270,-2.837162,17.451516,-7.508637,18.723406,-18.344886,-0.674919,-8.722016,-2.925842,0.002244,-12.564499,16.966688,-10.697383,7.183093,9.742650,-9.208043,15.264076,10.057539,-5.995479,B,C,B,B,A,A,B,G
180,24.344500,-10.727199,-2.497859,17.192656,-8.570095,18.670145,-18.088539,-1.089431,-9.229771,-3.257693,1.164900,-14.399855,18.293523,-9.751660,6.433166,9.786193,-9.248590,15.207812,20.180415,-10.813324,A,D,C,A,B,D,A,G
182,22.398958,-9.337238,-4.068826,17.195564,-7.919654,18.572711,-17.852817,1.255321,-8.934449,-4.558288,0.090961,-13.111989,16.945513,-9.805439,6.669361,9.785704,-9.322779,14.987334,29.692930,-9.818828,B,B,C,C,E,D,A,D
184,13.118552,-8.953289,-3.184717,17.488654,-7.343069,18.755279,-20.748741,-0.335335,-1.047394,-2.796506,-0.701362,-17.851227,13.025275,-21.420996,17.855470,9.736403,-9.183781,15.286005,-23.874267,-11.415870,D,E,B,A,A,E,G,F
186,22.498738,-10.851898,-3.324851,17.034396,-8.454727,18.685839,-20.093525,-0.004001,-9.699169,-3.038730,1.030032,-12.478658,17.377275,-9.143896,7.153250,9.812817,-9.236641,15.244936,37.265751,-10.476448,A,F,C,C,E,D,D,F
188,16.139085,-11.071699,-1.774919,17.317630,-7.844427,18.639976,-17.905143,-2.264144,-2.061441,-3.879444,0.290679,-17.719139,13.923500,-20.208074,15.500446,9.765171,-9.271560,15.102404,-44.029741,-13.026587,A,B,C,A,B,D,A,D
190,12.781568,-11.567862,-8.003603,17.330931,-7.773414,18.633506,-20.139586,7.190809,-1.547296,-3.753328,0.298056,-16.902368,12.230067,-21.055325,16.965260,9.762933,-9.276486,15.123784,-28.905984,-6.788573,B,D,A,C,B,D,A,G
192,21.595679,-9.012600,-5.022875,17.389891,-7.993339,18.689930,-20.524743,2.602838,-9.442833,-3.217155,0.138334,-11.987710,16.921799,-9.003331,7.735240,9.753015,-9.233527,15.214684,13.194497,-12.198682,A,C,B,A,C,D,C,G
194,16.211408,-11.444888,-6.459441,17.092004,-7.762112,18.560790,-18.125547,5.012420,-1.719060,-4.661785,0.261474,-18.274780,13.639908,-20.779416,16.017651,9.803125,-9.331857,14.969792,-5.821803,-12.720771,A,D,C,B,C,D,A,G
196,15.143204,-11.765781,-4.951032,17.359851,-7.332548,18.603610,-18.228942,2.675858,-1.481699,-4.358543,-0.152385,-18.104576,13.264909,-21.186235,16.361251,9.758069,-9.299250,15.021190,-3.875019,-10.381635,B,G,C,A,B,D,C,F
198,15.856575,-11.240245,-1.384570,17.517426,-7.739968,18.691495,-18.166035,-2.855075,-1.624127,-3.365022,0.196759,-18.239069,14.012232,-20.886643,16.154804,9.731564,-9.232335,15.189615,27.050378,-11.592513,A,A,C,A,A,C,G,G
200,23.799234,-9.155285,-6.823222,17.426216,-7.785427,18.694020,-18.968610,5.519373,-8.768833,-3.245459,-0.112600,-14.383409,18.087962,-9.999396,7.475379,9.746905,-9.230413,15.209886,2.672831,-7.342709,B,F,A,B,C,D,D,F
202,15.723231,-8.490456,-1.406496,17.213358,-8.528218,18.707513,-19.863397,-2.975433,-2.288532,-2.989314,0.803996,-17.160560,14.021662,-19.487607,15.908046,9.782711,-9.220141,15.253314,-32.497751,-11.971378,B,F,B,B,D,C,D,G
204,21.247981,-8.965933,-3.222075,17.486465,-7.873720,18.726179,-20.486587,-0.195357,-9.426434,-2.897532,-0.027321,-11.726379,16.882404,-9.015276,7.725303,9.736771,-9.205932,15.268876,-39.245863,-8.128733,B,B,A,C,E,D,E,G
206,22.043418,-11.618268,-5.897073,17.416491,-7.768434,18.551392,-18.011056,4.052857,-8.803800,-4.753026,0.301808,-12.959333,16.690441,-10.590524,6.909483,9.748541,-9.339014,14.954328,-25.383291,-11.903210,B,G,C,C,A,D,A,D
208,20.834717,-8.775877,-3.509574,17.525072,-7.686842,18.763486,-18.307399,0.357798,-8.690243,-2.483920,-0.301358,-12.133874,16.824328,-10.026787,7.201613,9.730278,-9.177533,15.339005,-30.007487,-6.478761,B,B,C,B,C,D,A,G
210,17.342498,-10.780445,-3.214960,17.211993,-8.365737,18.639329,-18.024755,-0.001407,-1.947436,-3.708080,0.901712,-18.525820,14.531875,-20.330346,15.686688,9.782940,-9.272052,15.131455,-1.189823,-12.721019,C,B,A,B,C,B,A,E
212,13.545362,-11.532993,-3.983332,17.344695,-7.514222,18.611942,-19.751739,1.059054,-2.164036,-4.203190,-0.005005,-16.274865,12.501792,-20.134100,16.020963,9.760618,-9.292905,15.047523,-50.330694,-11.661655,B,F,A,B,C,D,D,F
